,question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
810,"Differentiate between Tissues and its alternative, giving three points of distinction.",Biology,Tissues,69.1,0.69,227.0,156.0,8.0,Analyze,Medium
811,Calculate the value of Diversity in Living Organisms given the standard parameters.,Biology,Diversity in Living Organisms,58.2,0.58,362.0,210.0,9.0,Apply,Medium
813,"What is meant by Acids, Bases and Salts? Give one example.",Chemistry,"Acids, Bases and Salts",91.2,0.91,332.0,302.0,2.0,Remember,Easy
814,Write any two characteristics of Metals and Non-metals.,Chemistry,Metals and Non-metals,77.1,0.77,414.0,319.0,4.0,Understand,Easy
817,Define the term Structure of the Atom. Mention its SI unit.,Chemistry,Structure of the Atom,73.9,0.74,509.0,376.0,4.0,Remember,Easy
818,Why is The Rise of Nationalism in Europe considered essential for the functioning of the system?,History,The Rise of Nationalism in Europe,67.3,0.67,494.0,332.0,7.0,Analyze,Medium
825,A student performs an experiment on Minerals and Energy Resources. What observations would they record?,Geography,Minerals and Energy Resources,52.9,0.53,351.0,185.0,5.0,Apply,Medium
827,Define the term Lifelines of National Economy. Mention its SI unit.,Geography,Lifelines of National Economy,91.7,0.92,574.0,526.0,2.0,Remember,Easy
828,Define the term Development. Mention its SI unit.,Economics,Development,77.3,0.77,320.0,247.0,3.0,Remember,Easy
829,Analyze the impact of Sectors of the Indian Economy on the Indian economy over the last decade.,Economics,Sectors of the Indian Economy,43.2,0.43,214.0,92.0,12.0,Evaluate,Hard
831,Write any two characteristics of Globalization and the Indian Economy.,Economics,Globalization and the Indian Economy,85.1,0.85,469.0,399.0,3.0,Understand,Easy
832,How does Consumer Rights affect the overall outcome of the process? Explain.,Economics,Consumer Rights,51.2,0.51,458.0,234.0,8.0,Analyze,Medium
833,How does C++ Programming affect the overall outcome of the process? Explain.,Computer Science,C++ Programming,50.1,0.5,179.0,89.0,9.0,Analyze,Medium
845,Mention the main components of Work and Energy.,Physics,Work and Energy,88.4,0.88,265.0,234.0,3.0,Remember,Easy
850,How is Surface Areas and Volumes different from other concepts in this category?,Mathematics,Surface Areas and Volumes,82.4,0.82,423.0,348.0,3.0,Understand,Easy
853,"Differentiate between Triangles and Circles and its alternative, giving three points of distinction.",Mathematics,Triangles and Circles,60.1,0.6,439.0,263.0,5.0,Analyze,Medium
854,Analyze the impact of Life Processes on the Indian economy over the last decade.,Biology,Life Processes,34.3,0.34,190.0,65.0,15.0,Evaluate,Hard
855,Calculate the value of Control and Coordination given the standard parameters.,Biology,Control and Coordination,60.8,0.61,341.0,207.0,7.0,Apply,Medium
856,A student performs an experiment on Heredity and Evolution. What observations would they record?,Biology,Heredity and Evolution,53.3,0.53,435.0,231.0,5.0,Apply,Medium
858,Write any two characteristics of Cell Structure and Functions.,Biology,Cell Structure and Functions,79.5,0.79,565.0,448.0,3.0,Understand,Easy
859,Why is Tissues considered essential for the functioning of the system?,Biology,Tissues,48.0,0.48,394.0,189.0,9.0,Analyze,Medium
862,"Write any two characteristics of Acids, Bases and Salts.",Chemistry,"Acids, Bases and Salts",91.2,0.91,335.0,305.0,3.0,Understand,Easy
863,Why is Metals and Non-metals considered essential for the functioning of the system?,Chemistry,Metals and Non-metals,46.6,0.47,422.0,196.0,5.0,Analyze,Medium
866,A student performs an experiment on Structure of the Atom. What observations would they record?,Chemistry,Structure of the Atom,48.7,0.49,489.0,238.0,8.0,Apply,Medium
867,A student performs an experiment on The Rise of Nationalism in Europe. What observations would they record?,History,The Rise of Nationalism in Europe,49.6,0.5,419.0,207.0,9.0,Apply,Medium
871,Write any two characteristics of Print Culture and the Modern World.,History,Print Culture and the Modern World,78.4,0.78,598.0,468.0,4.0,Understand,Easy
874,"Differentiate between Minerals and Energy Resources and its alternative, giving three points of distinction.",Geography,Minerals and Energy Resources,65.3,0.65,341.0,222.0,7.0,Analyze,Medium
875,Explain the process of Manufacturing Industries with the help of a labeled diagram.,Geography,Manufacturing Industries,66.3,0.66,170.0,112.0,7.0,Apply,Medium
878,Calculate the value of Sectors of the Indian Economy given the standard parameters.,Economics,Sectors of the Indian Economy,68.4,0.68,521.0,356.0,5.0,Apply,Medium
881,Mention the main components of Consumer Rights.,Economics,Consumer Rights,91.0,0.91,474.0,431.0,3.0,Remember,Easy
884,Explain the process of Python Lists and Tuples with the help of a labeled diagram.,Computer Science,Python Lists and Tuples,48.6,0.49,187.0,90.0,5.0,Apply,Medium
890,"Differentiate between Reflection and Refraction and its alternative, giving three points of distinction.",Physics,Reflection and Refraction,56.1,0.56,451.0,253.0,8.0,Analyze,Medium
893,How does Motion and Laws of Motion affect the overall outcome of the process? Explain.,Physics,Motion and Laws of Motion,61.0,0.61,523.0,318.0,9.0,Analyze,Medium
895,"Differentiate between Gravitation and its alternative, giving three points of distinction.",Physics,Gravitation,58.3,0.58,367.0,213.0,7.0,Analyze,Medium
896,A student performs an experiment on Arithmetic Progressions. What observations would they record?,Mathematics,Arithmetic Progressions,51.9,0.52,416.0,215.0,9.0,Apply,Medium
897,How does Trigonometric Identities affect the overall outcome of the process? Explain.,Mathematics,Trigonometric Identities,50.2,0.5,333.0,167.0,6.0,Analyze,Medium
903,State the law of Life Processes.,Biology,Life Processes,75.8,0.76,403.0,305.0,3.0,Remember,Easy
904,Define the term Control and Coordination. Mention its SI unit.,Biology,Control and Coordination,89.4,0.89,505.0,451.0,3.0,Remember,Easy
910,How does Chemical Reactions and Equations affect the overall outcome of the process? Explain.,Chemistry,Chemical Reactions and Equations,56.6,0.57,404.0,228.0,5.0,Analyze,Medium
922,Calculate the value of Agriculture given the standard parameters.,Geography,Agriculture,51.2,0.51,204.0,104.0,5.0,Apply,Medium
925,Why is Lifelines of National Economy considered essential for the functioning of the system?,Geography,Lifelines of National Economy,50.1,0.5,462.0,231.0,7.0,Analyze,Medium
929,Design an experiment to demonstrate the properties of Globalization and the Indian Economy.,Economics,Globalization and the Indian Economy,35.3,0.35,184.0,64.0,10.0,Create,Hard
930,How is Consumer Rights different from other concepts in this category?,Economics,Consumer Rights,72.4,0.72,334.0,241.0,3.0,Understand,Easy
932,Suggest three measures to improve the efficiency of SQL Queries.,Computer Science,SQL Queries,19.9,0.2,586.0,116.0,15.0,Create,Hard
934,Critically examine the role of Computer Networks (OSI Model) in the current socio-political scenario.,Computer Science,Computer Networks (OSI Model),34.4,0.34,569.0,195.0,10.0,Evaluate,Hard
937,Write any two characteristics of HTML/CSS Structure.,Computer Science,HTML/CSS Structure,82.5,0.83,538.0,444.0,2.0,Understand,Easy
938,Suggest three measures to improve the efficiency of Electric Current and Circuits.,Physics,Electric Current and Circuits,41.5,0.42,478.0,198.0,13.0,Create,Hard
942,A student performs an experiment on Motion and Laws of Motion. What observations would they record?,Physics,Motion and Laws of Motion,59.5,0.6,307.0,182.0,6.0,Apply,Medium
944,Calculate the value of Gravitation given the standard parameters.,Physics,Gravitation,49.7,0.5,374.0,185.0,6.0,Apply,Medium
953,Mention the main components of Control and Coordination.,Biology,Control and Coordination,91.2,0.91,417.0,380.0,3.0,Remember,Easy
954,Mention the main components of Heredity and Evolution.,Biology,Heredity and Evolution,77.4,0.77,354.0,273.0,3.0,Remember,Easy
955,What is meant by Our Environment? Give one example.,Biology,Our Environment,85.6,0.86,346.0,296.0,4.0,Remember,Easy
964,Design an experiment to demonstrate the properties of Structure of the Atom.,Chemistry,Structure of the Atom,42.0,0.42,525.0,220.0,17.0,Create,Hard
967,"In the context of The Making of a Global World, evaluate the statement: 'Prevention is better than cure.'",History,The Making of a Global World,24.2,0.24,355.0,85.0,18.0,Evaluate,Hard
970,"In the context of Resources and Development, evaluate the statement: 'Prevention is better than cure.'",Geography,Resources and Development,31.0,0.31,342.0,106.0,13.0,Evaluate,Hard
973,"In the context of Manufacturing Industries, evaluate the statement: 'Prevention is better than cure.'",Geography,Manufacturing Industries,26.9,0.27,227.0,61.0,10.0,Evaluate,Hard
983,Mention the main components of Computer Networks (OSI Model).,Computer Science,Computer Networks (OSI Model),73.7,0.74,526.0,387.0,4.0,Remember,Easy
985,How does Cyber Safety affect the overall outcome of the process? Explain.,Computer Science,Cyber Safety,62.0,0.62,473.0,293.0,6.0,Analyze,Medium
990,How is Human Eye and Colourful World different from other concepts in this category?,Physics,Human Eye and Colourful World,83.2,0.83,234.0,194.0,3.0,Understand,Easy
996,"Differentiate between Coordinate Geometry and its alternative, giving three points of distinction.",Mathematics,Coordinate Geometry,63.7,0.64,302.0,192.0,7.0,Analyze,Medium
1009,"Critically examine the role of Acids, Bases and Salts in the current socio-political scenario.",Chemistry,"Acids, Bases and Salts",40.1,0.4,478.0,191.0,10.0,Evaluate,Hard
1016,Suggest three measures to improve the efficiency of The Making of a Global World.,History,The Making of a Global World,19.2,0.19,430.0,82.0,12.0,Create,Hard
1019,Calculate the value of Resources and Development given the standard parameters.,Geography,Resources and Development,63.2,0.63,350.0,221.0,5.0,Apply,Medium
1020,Discuss the challenges faced during the implementation of Agriculture in a developing country.,Geography,Agriculture,39.8,0.4,553.0,220.0,12.0,Evaluate,Hard
1022,"Differentiate between Manufacturing Industries and its alternative, giving three points of distinction.",Geography,Manufacturing Industries,59.0,0.59,174.0,102.0,8.0,Analyze,Medium
1028,"Differentiate between Consumer Rights and its alternative, giving three points of distinction.",Economics,Consumer Rights,50.7,0.51,234.0,118.0,8.0,Analyze,Medium
1029,Suggest three measures to improve the efficiency of C++ Programming.,Computer Science,C++ Programming,39.7,0.4,205.0,81.0,16.0,Create,Hard
1031,"Differentiate between Python Lists and Tuples and its alternative, giving three points of distinction.",Computer Science,Python Lists and Tuples,69.0,0.69,553.0,381.0,8.0,Analyze,Medium
1038,Discuss the challenges faced during the implementation of Magnetic Effects of Current in a developing country.,Physics,Magnetic Effects of Current,43.6,0.44,318.0,138.0,15.0,Evaluate,Hard
1039,Suggest three measures to improve the efficiency of Human Eye and Colourful World.,Physics,Human Eye and Colourful World,16.8,0.17,584.0,98.0,12.0,Create,Hard
1044,A student performs an experiment on Trigonometric Identities. What observations would they record?,Mathematics,Trigonometric Identities,53.6,0.54,346.0,185.0,8.0,Apply,Medium
1053,Define the term Our Environment. Mention its SI unit.,Biology,Our Environment,70.3,0.7,354.0,248.0,3.0,Remember,Easy
1058,"State the law of Acids, Bases and Salts.",Chemistry,"Acids, Bases and Salts",85.5,0.86,384.0,328.0,2.0,Remember,Easy
1059,Calculate the value of Metals and Non-metals given the standard parameters.,Chemistry,Metals and Non-metals,62.3,0.62,315.0,196.0,6.0,Apply,Medium
1065,Define the term The Making of a Global World. Mention its SI unit.,History,The Making of a Global World,80.9,0.81,469.0,379.0,3.0,Remember,Easy
1066,State the law of The Age of Industrialisation.,History,The Age of Industrialisation,89.2,0.89,553.0,493.0,2.0,Remember,Easy
1070,Analyze the impact of Minerals and Energy Resources on the Indian economy over the last decade.,Geography,Minerals and Energy Resources,42.5,0.43,579.0,246.0,13.0,Evaluate,Hard
1074,"Differentiate between Sectors of the Indian Economy and its alternative, giving three points of distinction.",Economics,Sectors of the Indian Economy,51.2,0.51,537.0,274.0,5.0,Analyze,Medium
1077,Discuss the challenges faced during the implementation of Consumer Rights in a developing country.,Economics,Consumer Rights,16.4,0.16,190.0,31.0,17.0,Evaluate,Hard
1080,Calculate the value of Python Lists and Tuples given the standard parameters.,Computer Science,Python Lists and Tuples,52.6,0.53,559.0,293.0,8.0,Apply,Medium
1081,Define the term Computer Networks (OSI Model). Mention its SI unit.,Computer Science,Computer Networks (OSI Model),83.7,0.84,516.0,431.0,4.0,Remember,Easy
1082,Define the term Boolean Algebra. Mention its SI unit.,Computer Science,Boolean Algebra,79.7,0.8,206.0,164.0,2.0,Remember,Easy
1084,Design an experiment to demonstrate the properties of HTML/CSS Structure.,Computer Science,HTML/CSS Structure,37.2,0.37,478.0,177.0,11.0,Create,Hard
1087,What is meant by Magnetic Effects of Current? Give one example.,Physics,Magnetic Effects of Current,79.3,0.79,501.0,397.0,3.0,Remember,Easy
1094,Write any two characteristics of Coordinate Geometry.,Mathematics,Coordinate Geometry,76.0,0.76,368.0,279.0,3.0,Understand,Easy
1096,"Differentiate between Probability and its alternative, giving three points of distinction.",Mathematics,Probability,61.0,0.61,419.0,255.0,7.0,Analyze,Medium
1097,Critically examine the role of Linear Equations in Two Variables in the current socio-political scenario.,Mathematics,Linear Equations in Two Variables,42.2,0.42,480.0,202.0,11.0,Evaluate,Hard
1098,Discuss the challenges faced during the implementation of Triangles and Circles in a developing country.,Mathematics,Triangles and Circles,39.1,0.39,462.0,180.0,15.0,Evaluate,Hard
1100,Discuss the challenges faced during the implementation of Control and Coordination in a developing country.,Biology,Control and Coordination,24.9,0.25,185.0,46.0,19.0,Evaluate,Hard
1102,Discuss the challenges faced during the implementation of Our Environment in a developing country.,Biology,Our Environment,42.6,0.43,570.0,242.0,17.0,Evaluate,Hard
1111,Why is Structure of the Atom considered essential for the functioning of the system?,Chemistry,Structure of the Atom,65.7,0.66,590.0,387.0,8.0,Analyze,Medium
1113,Calculate the value of Nationalism in India given the standard parameters.,History,Nationalism in India,60.0,0.6,404.0,242.0,9.0,Apply,Medium
1114,"Differentiate between The Making of a Global World and its alternative, giving three points of distinction.",History,The Making of a Global World,57.8,0.58,266.0,153.0,6.0,Analyze,Medium
1115,How is The Age of Industrialisation different from other concepts in this category?,History,The Age of Industrialisation,83.5,0.84,535.0,446.0,3.0,Understand,Easy
1116,Calculate the value of Print Culture and the Modern World given the standard parameters.,History,Print Culture and the Modern World,66.2,0.66,549.0,363.0,8.0,Apply,Medium
1122,"Differentiate between Development and its alternative, giving three points of distinction.",Economics,Development,54.6,0.55,370.0,201.0,9.0,Analyze,Medium
1125,"Differentiate between Globalization and the Indian Economy and its alternative, giving three points of distinction.",Economics,Globalization and the Indian Economy,69.7,0.7,171.0,119.0,6.0,Analyze,Medium
1126,Analyze the impact of Consumer Rights on the Indian economy over the last decade.,Economics,Consumer Rights,33.9,0.34,523.0,177.0,12.0,Evaluate,Hard
1130,State the law of Computer Networks (OSI Model).,Computer Science,Computer Networks (OSI Model),74.6,0.75,307.0,228.0,2.0,Remember,Easy
1136,"Differentiate between Magnetic Effects of Current and its alternative, giving three points of distinction.",Physics,Magnetic Effects of Current,47.1,0.47,166.0,78.0,9.0,Analyze,Medium
1137,Why is Human Eye and Colourful World considered essential for the functioning of the system?,Physics,Human Eye and Colourful World,63.2,0.63,412.0,260.0,6.0,Analyze,Medium
1141,State the law of Arithmetic Progressions.,Mathematics,Arithmetic Progressions,73.4,0.73,262.0,192.0,4.0,Remember,Easy
1148,How does Life Processes affect the overall outcome of the process? Explain.,Biology,Life Processes,64.7,0.65,410.0,265.0,6.0,Analyze,Medium
1150,Calculate the value of Heredity and Evolution given the standard parameters.,Biology,Heredity and Evolution,68.9,0.69,473.0,325.0,6.0,Apply,Medium
1155,Critically examine the role of Chemical Reactions and Equations in the current socio-political scenario.,Chemistry,Chemical Reactions and Equations,37.7,0.38,180.0,67.0,13.0,Evaluate,Hard
1157,How is Metals and Non-metals different from other concepts in this category?,Chemistry,Metals and Non-metals,71.8,0.72,275.0,197.0,4.0,Understand,Easy
1159,Design an experiment to demonstrate the properties of Periodic Classification of Elements.,Chemistry,Periodic Classification of Elements,25.7,0.26,331.0,85.0,15.0,Create,Hard
1172,Why is Sectors of the Indian Economy considered essential for the functioning of the system?,Economics,Sectors of the Indian Economy,69.1,0.69,306.0,211.0,7.0,Analyze,Medium
1175,Define the term Consumer Rights. Mention its SI unit.,Economics,Consumer Rights,89.8,0.9,444.0,398.0,4.0,Remember,Easy
1177,State the law of SQL Queries.,Computer Science,SQL Queries,77.1,0.77,446.0,343.0,3.0,Remember,Easy
1181,A student performs an experiment on Cyber Safety. What observations would they record?,Computer Science,Cyber Safety,53.0,0.53,355.0,188.0,6.0,Apply,Medium
1184,Why is Reflection and Refraction considered essential for the functioning of the system?,Physics,Reflection and Refraction,45.3,0.45,332.0,150.0,9.0,Analyze,Medium
1186,Write any two characteristics of Human Eye and Colourful World.,Physics,Human Eye and Colourful World,75.9,0.76,157.0,119.0,3.0,Understand,Easy
1196,How does Triangles and Circles affect the overall outcome of the process? Explain.,Mathematics,Triangles and Circles,64.1,0.64,400.0,256.0,5.0,Analyze,Medium
1201,Calculate the value of Cell Structure and Functions given the standard parameters.,Biology,Cell Structure and Functions,56.6,0.57,540.0,305.0,9.0,Apply,Medium
1202,What is meant by Tissues? Give one example.,Biology,Tissues,73.3,0.73,237.0,173.0,3.0,Remember,Easy
1210,Define the term The Rise of Nationalism in Europe. Mention its SI unit.,History,The Rise of Nationalism in Europe,77.6,0.78,378.0,293.0,3.0,Remember,Easy
1217,Suggest three measures to improve the efficiency of Minerals and Energy Resources.,Geography,Minerals and Energy Resources,44.2,0.44,206.0,91.0,19.0,Create,Hard
1222,"Differentiate between Money and Credit and its alternative, giving three points of distinction.",Economics,Money and Credit,63.1,0.63,268.0,169.0,9.0,Analyze,Medium
1223,Calculate the value of Globalization and the Indian Economy given the standard parameters.,Economics,Globalization and the Indian Economy,53.5,0.53,346.0,185.0,7.0,Apply,Medium
1225,"Differentiate between C++ Programming and its alternative, giving three points of distinction.",Computer Science,C++ Programming,62.3,0.62,176.0,109.0,8.0,Analyze,Medium
1227,"In the context of Python Lists and Tuples, evaluate the statement: 'Prevention is better than cure.'",Computer Science,Python Lists and Tuples,21.1,0.21,501.0,105.0,12.0,Evaluate,Hard
1236,Analyze the impact of Motion and Laws of Motion on the Indian economy over the last decade.,Physics,Motion and Laws of Motion,21.8,0.22,565.0,123.0,11.0,Evaluate,Hard
1240,What is meant by Trigonometric Identities? Give one example.,Mathematics,Trigonometric Identities,84.3,0.84,465.0,392.0,4.0,Remember,Easy
1241,Why is Coordinate Geometry considered essential for the functioning of the system?,Mathematics,Coordinate Geometry,48.2,0.48,155.0,74.0,6.0,Analyze,Medium
1242,Write any two characteristics of Surface Areas and Volumes.,Mathematics,Surface Areas and Volumes,89.7,0.9,481.0,431.0,2.0,Understand,Easy
1246,Discuss the challenges faced during the implementation of Life Processes in a developing country.,Biology,Life Processes,38.0,0.38,454.0,172.0,18.0,Evaluate,Hard
1248,How does Heredity and Evolution affect the overall outcome of the process? Explain.,Biology,Heredity and Evolution,68.4,0.68,224.0,153.0,8.0,Analyze,Medium
1252,Define the term Diversity in Living Organisms. Mention its SI unit.,Biology,Diversity in Living Organisms,89.9,0.9,234.0,210.0,2.0,Remember,Easy
1254,"How is Acids, Bases and Salts different from other concepts in this category?",Chemistry,"Acids, Bases and Salts",79.5,0.79,597.0,474.0,4.0,Understand,Easy
1256,Why is Carbon and its Compounds considered essential for the functioning of the system?,Chemistry,Carbon and its Compounds,58.8,0.59,581.0,341.0,8.0,Analyze,Medium
1262,Calculate the value of The Age of Industrialisation given the standard parameters.,History,The Age of Industrialisation,61.6,0.62,218.0,134.0,8.0,Apply,Medium
1267,What is meant by Manufacturing Industries? Give one example.,Geography,Manufacturing Industries,74.2,0.74,245.0,181.0,4.0,Remember,Easy
1272,Analyze the impact of Globalization and the Indian Economy on the Indian economy over the last decade.,Economics,Globalization and the Indian Economy,25.0,0.25,555.0,139.0,19.0,Evaluate,Hard
1276,Why is Python Lists and Tuples considered essential for the functioning of the system?,Computer Science,Python Lists and Tuples,58.5,0.58,412.0,240.0,6.0,Analyze,Medium
1281,Discuss the challenges faced during the implementation of Electric Current and Circuits in a developing country.,Physics,Electric Current and Circuits,27.4,0.27,532.0,145.0,13.0,Evaluate,Hard
1283,Define the term Magnetic Effects of Current. Mention its SI unit.,Physics,Magnetic Effects of Current,74.7,0.75,453.0,338.0,4.0,Remember,Easy
1292,How does Probability affect the overall outcome of the process? Explain.,Mathematics,Probability,49.4,0.49,345.0,170.0,7.0,Analyze,Medium
1295,Explain the process of Life Processes with the help of a labeled diagram.,Biology,Life Processes,60.6,0.61,442.0,267.0,5.0,Apply,Medium
1298,Suggest three measures to improve the efficiency of Our Environment.,Biology,Our Environment,34.7,0.35,231.0,80.0,19.0,Create,Hard
1303,"Calculate the value of Acids, Bases and Salts given the standard parameters.",Chemistry,"Acids, Bases and Salts",69.7,0.7,440.0,306.0,6.0,Apply,Medium
1311,Design an experiment to demonstrate the properties of The Age of Industrialisation.,History,The Age of Industrialisation,37.6,0.38,460.0,172.0,16.0,Create,Hard
1312,Define the term Print Culture and the Modern World. Mention its SI unit.,History,Print Culture and the Modern World,82.1,0.82,575.0,472.0,2.0,Remember,Easy
1314,Write any two characteristics of Agriculture.,Geography,Agriculture,80.6,0.81,585.0,471.0,4.0,Understand,Easy
1316,Define the term Manufacturing Industries. Mention its SI unit.,Geography,Manufacturing Industries,77.2,0.77,517.0,399.0,4.0,Remember,Easy
1317,How does Lifelines of National Economy affect the overall outcome of the process? Explain.,Geography,Lifelines of National Economy,46.6,0.47,482.0,224.0,5.0,Analyze,Medium
1320,Analyze the impact of Money and Credit on the Indian economy over the last decade.,Economics,Money and Credit,43.6,0.44,479.0,208.0,19.0,Evaluate,Hard
1324,Mention the main components of SQL Queries.,Computer Science,SQL Queries,77.8,0.78,357.0,277.0,2.0,Remember,Easy
1337,Discuss the challenges faced during the implementation of Arithmetic Progressions in a developing country.,Mathematics,Arithmetic Progressions,37.2,0.37,355.0,132.0,14.0,Evaluate,Hard
1346,Why is Heredity and Evolution considered essential for the functioning of the system?,Biology,Heredity and Evolution,64.4,0.64,377.0,242.0,9.0,Analyze,Medium
1348,"In the context of Cell Structure and Functions, evaluate the statement: 'Prevention is better than cure.'",Biology,Cell Structure and Functions,20.4,0.2,219.0,44.0,14.0,Evaluate,Hard
1353,Suggest three measures to improve the efficiency of Metals and Non-metals.,Chemistry,Metals and Non-metals,32.6,0.33,315.0,102.0,11.0,Create,Hard
1372,Write any two characteristics of C++ Programming.,Computer Science,C++ Programming,87.5,0.88,553.0,483.0,3.0,Understand,Easy
1382,Design an experiment to demonstrate the properties of Human Eye and Colourful World.,Physics,Human Eye and Colourful World,24.7,0.25,388.0,95.0,18.0,Create,Hard
1383,Write any two characteristics of Motion and Laws of Motion.,Physics,Motion and Laws of Motion,72.5,0.73,176.0,127.0,4.0,Understand,Easy
1384,A student performs an experiment on Work and Energy. What observations would they record?,Physics,Work and Energy,56.4,0.56,228.0,128.0,9.0,Apply,Medium
1387,Why is Trigonometric Identities considered essential for the functioning of the system?,Mathematics,Trigonometric Identities,61.2,0.61,150.0,91.0,6.0,Analyze,Medium
1389,Why is Surface Areas and Volumes considered essential for the functioning of the system?,Mathematics,Surface Areas and Volumes,65.2,0.65,361.0,235.0,7.0,Analyze,Medium
1398,Mention the main components of Tissues.,Biology,Tissues,80.8,0.81,287.0,231.0,3.0,Remember,Easy
1399,Critically examine the role of Diversity in Living Organisms in the current socio-political scenario.,Biology,Diversity in Living Organisms,43.3,0.43,362.0,156.0,19.0,Evaluate,Hard
1400,Analyze the impact of Chemical Reactions and Equations on the Indian economy over the last decade.,Chemistry,Chemical Reactions and Equations,23.1,0.23,168.0,38.0,10.0,Evaluate,Hard
1401,"Explain the process of Acids, Bases and Salts with the help of a labeled diagram.",Chemistry,"Acids, Bases and Salts",60.4,0.6,168.0,101.0,6.0,Apply,Medium
1408,Calculate the value of The Making of a Global World given the standard parameters.,History,The Making of a Global World,46.6,0.47,526.0,245.0,6.0,Apply,Medium
1409,Suggest three measures to improve the efficiency of The Age of Industrialisation.,History,The Age of Industrialisation,21.4,0.21,229.0,49.0,19.0,Create,Hard
1412,State the law of Agriculture.,Geography,Agriculture,89.1,0.89,277.0,246.0,3.0,Remember,Easy
1418,"In the context of Money and Credit, evaluate the statement: 'Prevention is better than cure.'",Economics,Money and Credit,25.6,0.26,302.0,77.0,14.0,Evaluate,Hard
1420,A student performs an experiment on Consumer Rights. What observations would they record?,Economics,Consumer Rights,63.2,0.63,260.0,164.0,8.0,Apply,Medium
1422,Critically examine the role of SQL Queries in the current socio-political scenario.,Computer Science,SQL Queries,32.0,0.32,329.0,105.0,15.0,Evaluate,Hard
1434,Define the term Gravitation. Mention its SI unit.,Physics,Gravitation,79.6,0.8,564.0,448.0,4.0,Remember,Easy
1438,"In the context of Surface Areas and Volumes, evaluate the statement: 'Prevention is better than cure.'",Mathematics,Surface Areas and Volumes,17.5,0.18,425.0,74.0,17.0,Evaluate,Hard
1441,Calculate the value of Triangles and Circles given the standard parameters.,Mathematics,Triangles and Circles,63.2,0.63,150.0,94.0,6.0,Apply,Medium
1449,"In the context of Chemical Reactions and Equations, evaluate the statement: 'Prevention is better than cure.'",Chemistry,Chemical Reactions and Equations,31.6,0.32,504.0,159.0,14.0,Evaluate,Hard
1454,Suggest three measures to improve the efficiency of Structure of the Atom.,Chemistry,Structure of the Atom,30.4,0.3,447.0,135.0,12.0,Create,Hard
1461,Mention the main components of Agriculture.,Geography,Agriculture,91.2,0.91,411.0,374.0,2.0,Remember,Easy
1465,How does Development affect the overall outcome of the process? Explain.,Economics,Development,53.5,0.54,291.0,155.0,7.0,Analyze,Medium
1470,Critically examine the role of C++ Programming in the current socio-political scenario.,Computer Science,C++ Programming,35.3,0.35,279.0,98.0,10.0,Evaluate,Hard
1473,Explain the process of Computer Networks (OSI Model) with the help of a labeled diagram.,Computer Science,Computer Networks (OSI Model),62.3,0.62,171.0,106.0,9.0,Apply,Medium
1476,Calculate the value of HTML/CSS Structure given the standard parameters.,Computer Science,HTML/CSS Structure,60.3,0.6,332.0,200.0,6.0,Apply,Medium
1477,"Differentiate between Electric Current and Circuits and its alternative, giving three points of distinction.",Physics,Electric Current and Circuits,68.7,0.69,302.0,207.0,5.0,Analyze,Medium
1487,Critically examine the role of Surface Areas and Volumes in the current socio-political scenario.,Mathematics,Surface Areas and Volumes,21.2,0.21,329.0,69.0,11.0,Evaluate,Hard
1488,Critically examine the role of Probability in the current socio-political scenario.,Mathematics,Probability,42.3,0.42,387.0,163.0,18.0,Evaluate,Hard
1490,How is Triangles and Circles different from other concepts in this category?,Mathematics,Triangles and Circles,70.0,0.7,530.0,371.0,4.0,Understand,Easy
1503,"In the context of Structure of the Atom, evaluate the statement: 'Prevention is better than cure.'",Chemistry,Structure of the Atom,28.2,0.28,532.0,150.0,13.0,Evaluate,Hard
1504,Design an experiment to demonstrate the properties of The Rise of Nationalism in Europe.,History,The Rise of Nationalism in Europe,33.7,0.34,520.0,175.0,16.0,Create,Hard
1505,Discuss the challenges faced during the implementation of Nationalism in India in a developing country.,History,Nationalism in India,31.3,0.31,164.0,51.0,13.0,Evaluate,Hard
1508,A student performs an experiment on Print Culture and the Modern World. What observations would they record?,History,Print Culture and the Modern World,68.2,0.68,319.0,217.0,7.0,Apply,Medium
1518,Why is Consumer Rights considered essential for the functioning of the system?,Economics,Consumer Rights,57.9,0.58,482.0,279.0,8.0,Analyze,Medium
1527,Design an experiment to demonstrate the properties of Reflection and Refraction.,Physics,Reflection and Refraction,36.9,0.37,518.0,191.0,14.0,Create,Hard
1529,Analyze the impact of Human Eye and Colourful World on the Indian economy over the last decade.,Physics,Human Eye and Colourful World,43.9,0.44,189.0,82.0,14.0,Evaluate,Hard
1532,Analyze the impact of Gravitation on the Indian economy over the last decade.,Physics,Gravitation,43.9,0.44,234.0,102.0,19.0,Evaluate,Hard
1533,Analyze the impact of Arithmetic Progressions on the Indian economy over the last decade.,Mathematics,Arithmetic Progressions,30.6,0.31,394.0,120.0,16.0,Evaluate,Hard
1540,Write any two characteristics of Life Processes.,Biology,Life Processes,80.2,0.8,436.0,349.0,3.0,Understand,Easy
1543,Write any two characteristics of Our Environment.,Biology,Our Environment,80.4,0.8,371.0,298.0,3.0,Understand,Easy
1551,What is meant by Periodic Classification of Elements? Give one example.,Chemistry,Periodic Classification of Elements,73.1,0.73,163.0,119.0,4.0,Remember,Easy
